Bosko,986.291034337306,762.2300855146442,200.0,PT25.7452942S,
Bosko,921.5821162808242,837.5370911601324,-45.999999999999986,PT26.2896324S,
Buha,722.1486434147592,767.3277843060517,248.0,PT26.4416601S,
Bosko,849.6481362469597,768.0712541142328,224.0,PT26.6257039S,
Bosko,782.9609326828961,837.1278749467427,-45.999999999999986,PT26.9458657S,
Buha,533.0031370831366,843.7475293628963,-22.0,PT27.1218675S,
Bosko,711.0269526490316,767.6620379008432,224.0,PT27.281927S,
Buha,503.0346096098639,769.5728209975541,248.0,PT27.3779683S,
Bosko,644.339749084968,836.7186587333531,-45.999999999999986,PT27.601967S,
Bosko,572.4057690511036,767.2528216874535,224.0,PT27.9347054S,
Buha,321.3065741147727,842.9957133070715,-22.0,PT28.0338078S,
Bosko,502.939932005204,839.186801721318,-45.999999999999986,PT28.273888S,
Buha,291.33804664149915,768.8210049417293,248.0,PT28.3218881S,
Bosko,428.12859276998495,766.9423311935825,224.0,PT28.6250274S,
Buha,142.98862991081333,828.758059888274,-22.0,PT28.8490966S,
Buha,135.4964980424951,810.2143827969385,68.0,PT28.9131178S,
Bosko,358.6627557240854,838.876311227447,-45.999999999999986,PT28.9611423S,
Bosko,283.85141648886633,766.6318406997115,224.0,PT29.2972834S,
Buha,254.17603142704354,762.2647388397027,-22.0,PT29.3453055S,
Bosko,214.3855794429668,838.565820733576,-45.999999999999986,PT29.6653965S,
Bosko,142.4515994091016,769.0999836876764,44.0,PT30.0010944S,
Buha,153.78146439157914,513.7794658158062,68.0,PT30.25719S,
Buha,168.6164060646477,507.7857603211516,-202.0,PT30.3211882S,
Bosko,211.91743645500114,697.1660036538119,-46.0,PT30.3361881S,
Bosko,139.98345642113594,627.7001666079124,44.0,PT30.6573521S,
Buha,216.56605002188442,626.4652937056992,68.0,PT30.7374116S,
Buha,338.95431882470064,577.0172233747998,-22.0,PT31.1853482S,
Bosko,340.04506711332664,420.53030411038264,-46.0,PT31.6174442S,
Bosko,302.6393974957171,384.4080688465149,224.0,PT31.7935194S,
Buha,261.03614739418947,384.162981624908,248.0,PT31.8735646S,
Bosko,235.95219393165354,453.4646896790248,-45.999999999999986,PT32.1136733S,
Buha,142.356614009641,432.11262558214565,-22.0,PT32.3057301S,
Buha,136.3629085149864,417.277683909077,68.0,PT32.353738S,
Bosko,140.99934028695148,361.7697847784374,44.0,PT32.5617566S,
Buha,229.08129397166488,379.8170245674851,-22.0,PT32.7058196S,
Bosko,210.46517733285103,289.8358047445729,-46.0,PT32.8978597S,
Bosko,141.40855650034044,223.14860118050933,44.0,PT33.2177311S,
Buha,136.1788588045187,149.87542863492152,68.0,PT33.5377687S,
Bosko,233.10346140092784,128.19574753580727,-226.0,PT33.68115S,
Buha,202.9360963333272,122.90375390897586,-202.0,PT33.7911912S,
Bosko,307.9148006361471,200.4402180635428,44.0,PT34.0302247S,
Buha,234.40305018026382,200.7871976925858,68.0,PT34.0652447S,
Bosko,377.38063768204665,128.5062380296776,-226.0,PT34.4014365S,
Bosko,449.31461771591114,197.97207507557715,44.0,PT34.7372296S,
Buha,427.2572919301564,122.86902626207612,-202.0,PT34.8012746S,
Bosko,516.0018212799747,128.91545424306656,-226.0,PT35.0574064S,
Buha,457.2258194034288,197.04373462741893,68.0,PT35.0714059S,
Bosko,596.5678789179029,206.71719173447406,-46.00000000000001,PT35.4576432S,
Bosko,596.5678789179029,206.71719173447406,-46.00000000000001,PT35.4586431S,
Buha,594.4490298793127,141.60195880186396,-112.0,PT35.5856809S,
Buha,594.4490298793127,141.60195880186396,-112.0,PT35.5856809S,
